destination_country,iso3,undesa_name,undesa_location_code,destination_migrant_stock_2020,destination_total_population_2020,migrant_share_population_2020
Estados Unidos,USA,United States of America,840,50632836.0,331002647.0,15.296806976894056
Reino Unido,GBR,United Kingdom,826,9359587.0,67886004.0,13.787211573095389
Brasil,BRA,Brazil,76,1079708.0,212559409.0,0.5079558722333481
Espanha,ESP,Spain,724,6842202.0,46754783.0,14.634228972894602
Canadá,CAN,Canada,124,8049323.0,37742157.0,21.32714089446451
Emirados Árabes Unidos,ARE,United Arab Emirates,784,8716332.0,9890400.0,88.12921620965784
Austrália,AUS,Australia,36,7685860.0,25499881.0,30.140768107898232
Alemanha,DEU,Germany,276,15762457.0,83783945.0,18.81321892875777
França,FRA,France,250,8524876.0,65273512.0,13.060237972180813
Arábia Saudita,SAU,Saudi Arabia,682,13454842.0,34813867.0,38.64793876532015
Catar,QAT,Qatar,634,2226192.0,2881060.0,77.26989371967262
Singapura,SGP,Singapore,702,2523648.0,5850343.0,43.13675283654309
